Date,Temperature,Humidity,Pressure,Wind speed,east,east-northeast,east-southeast,north,north-east,north-northeast,north-northwest,north-west,south,south-east,south-southeast,south-southwest,south-west,west,west-northwest,west-southwest,variable wind direction
2024-11-03 00:00:00,-1.2,105.9,1033.0,0.5,False,False,True,False,True,False,False,True,False,False,False,False,False,True,True,False,False
2024-11-03 01:00:00,-2.7,109.6,1033.1,1.0,True,False,True,True,True,False,False,True,True,False,True,True,True,True,False,True,True
2024-11-03 02:00:00,-0.2,96.8,1034.3,3.9,True,False,False,False,True,False,False,True,True,True,False,False,False,True,True,False,True
2024-11-03 03:00:00,0.1,104.5,1033.8,3.2,True,False,False,False,False,False,False,False,True,True,False,True,True,True,True,False,True
2024-11-03 04:00:00,-0.8,105.8,1033.8,3.8,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,True,True
2024-11-03 05:00:00,1.2,102.8,1032.9,2.6,True,True,True,False,False,False,False,True,False,True,True,False,True,False,True,True,False
2024-11-03 06:00:00,-0.3,100.4,1033.0,4.4,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,True
2024-11-03 07:00:00,-4.4,112.7,1033.5,1.4,True,False,False,True,False,False,False,False,True,True,True,True,True,True,False,False,True
2024-11-03 08:00:00,0.1,104.5,1033.0,2.8,True,True,False,False,True,False,False,False,True,True,False,True,False,True,False,False,True
2024-11-03 09:00:00,-1.2,102.6,1032.0,3.0,True,False,True,True,False,False,False,False,True,False,True,True,True,True,False,True,False
2024-11-03 10:00:00,-2.5,111.4,1033.1,1.9,False,True,False,False,True,False,False,True,False,True,False,False,True,False,True,False,True
2024-11-03 11:00:00,-1.3,103.6,1033.6,2.1,True,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True
2024-11-03 12:00:00,-1.2,118.3,1034.4,4.3,True,False,True,True,False,False,False,False,True,True,False,True,False,False,False,True,False
2024-11-03 13:00:00,-3.0,117.1,1034.5,1.0,False,False,True,False,True,False,False,True,True,True,False,True,False,True,True,True,False
2024-11-03 14:00:00,-3.0,108.4,1034.2,3.8,True,True,True,False,False,False,False,False,False,False,True,False,True,True,True,False,False
2024-11-03 15:00:00,-1.8,102.9,1034.5,1.5,False,False,False,True,True,False,False,True,False,True,False,True,True,False,True,False,False
2024-11-03 16:00:00,-2.6,110.0,1034.4,0.8,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False
2024-11-03 17:00:00,-0.5,107.2,1034.6,0.5,True,True,False,True,False,False,False,False,False,True,True,True,True,False,False,False,True
2024-11-03 18:00:00,-1.6,102.9,1034.5,2.3,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2024-11-03 19:00:00,-1.3,108.1,1034.2,1.7,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False
2024-11-03 20:00:00,1.9,94.6,1034.9,3.0,False,False,True,False,False,False,False,False,True,True,True,False,True,False,False,True,False
2024-11-03 21:00:00,-1.7,108.7,1035.5,1.6,True,False,True,False,True,False,False,False,True,True,True,True,False,True,False,True,False
2024-11-03 22:00:00,-1.4,111.9,1035.3,2.2,False,True,True,False,True,False,False,True,True,True,True,True,True,False,False,False,True
2024-11-03 23:00:00,-3.4,112.9,1035.9,2.7,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False
2024-11-04 00:00:00,-1.9,98.9,1035.4,0.5,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,True,True
2024-11-04 01:00:00,-2.3,102.4,1035.7,1.4,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True
2024-11-04 02:00:00,-2.6,104.6,1035.7,0.7,True,True,False,True,True,False,False,True,False,True,True,True,False,True,False,False,False
2024-11-04 03:00:00,-0.9,110.1,1035.5,-1.2,False,True,True,True,False,False,False,False,True,True,True,False,True,True,True,True,False
2024-11-04 04:00:00,-2.1,111.3,1036.0,3.2,False,False,True,True,True,False,False,True,False,False,False,False,False,False,True,False,True
2024-11-04 05:00:00,0.8,107.1,1035.6,1.8,True,False,True,False,True,False,False,True,True,False,True,True,True,True,True,False,True
2024-11-04 06:00:00,-0.6,105.6,1034.6,1.6,True,True,False,True,False,False,False,True,True,False,True,False,True,False,False,True,True
2024-11-04 07:00:00,0.6,96.3,1034.5,1.9,True,True,False,True,False,False,False,True,False,True,False,False,True,True,False,True,True
2024-11-04 08:00:00,-0.6,94.0,1034.7,2.9,True,True,True,False,True,False,False,True,False,False,False,False,False,True,True,False,True
2024-11-04 09:00:00,-2.1,109.7,1033.7,4.1,False,True,True,False,True,False,False,False,False,False,True,False,False,False,True,True,False
2024-11-04 10:00:00,-0.7,106.5,1033.8,4.3,False,False,True,False,True,False,False,True,True,False,False,True,False,True,True,True,True
2024-11-04 11:00:00,-0.6,93.8,1034.5,6.0,True,True,False,True,False,False,False,True,True,True,False,False,True,True,True,True,False
2024-11-04 12:00:00,1.1,99.9,1034.7,4.2,False,True,True,True,False,False,False,True,True,True,True,False,True,True,True,False,True
2024-11-04 13:00:00,-0.9,111.3,1034.0,1.4,False,True,True,False,False,False,False,False,False,False,False,False,True,True,True,True,False
2024-11-04 14:00:00,1.5,101.6,1034.0,3.5,False,True,False,False,False,False,False,True,True,True,False,True,False,False,False,True,True
2024-11-04 15:00:00,1.0,88.1,1032.8,6.0,False,False,True,True,False,False,False,True,True,True,True,True,True,True,False,True,False
2024-11-04 16:00:00,2.0,82.4,1032.7,3.1,False,False,False,False,False,False,False,False,True,False,False,True,True,True,False,True,True
2024-11-04 17:00:00,1.9,94.3,1031.6,5.0,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,True,True
